"","FOD_ID","FIRE_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE"
"33",213321,"231174",1992,1992-06-01,153,"Natural","Natural",60,"C",65.6662,-148.3192,"STATE","AK"
"34",213322,"232180",1992,1992-06-03,155,"Human","Debris and open burning",13,"C",62.0492,-163.2524,"OTHER FEDERAL","AK"
"35",213323,"204181",1992,1992-06-04,156,"Human","Debris and open burning",12,"C",59.4493,-157.3355,"BIA","AK"
"36",213324,"232193",1992,1992-06-06,158,"Human","Debris and open burning",100,"D",62.0826,-163.7357,"OTHER FEDERAL","AK"
"37",213325,"WLK E 20",1992,1992-06-10,162,"Human","Recreation and ceremony",20,"C",66.5994,-159.1194,"BIA","AK"
"38",213326,"204217",1992,1992-06-10,162,"Human","Other causes",185,"D",61.8493,-156.369,"BLM","AK"
"39",213327,"213225",1992,1992-06-11,163,"Human","Missing data/not specified/undetermined",48087,"G",62.6497,-141.1855,"STATE","AK"
"40",213330,"23228",1992,1992-06-11,163,"Human","Arson/incendiarism",60,"C",64.0329,-146.319,"OTHER FEDERAL","AK"
"41",213331,"213236",1992,1992-06-12,164,"Natural","Natural",25,"C",63.5163,-143.4523,"BLM","AK"
"42",213333,"231239",1992,1992-06-13,165,"Natural","Natural",930,"E",64.4162,-150.5357,"STATE","AK"
"43",213338,"CEM W 68",1992,1992-06-14,166,"Natural","Natural",100,"D",65.7329,-147.4859,"BLM","AK"
"44",213339,"TAL N 45",1992,1992-06-14,166,"Natural","Natural",550,"E",65.9495,-151.8359,"BLM","AK"
"45",213341,"232266",1992,1992-06-19,171,"Natural","Natural",3390,"F",66.5161,-155.736,"BLM","AK"
"46",213342,"CEM E 60",1992,1992-06-20,172,"Natural","Natural",80,"C",65.433,-142.3524,"NPS","AK"
"47",213345,"UMIATSE 32",1992,1992-06-23,175,"Natural","Natural",10,"C",68.9163,-151.6362,"OTHER FEDERAL","AK"
"48",213346,"BTT 3 48",1992,1992-06-23,175,"Natural","Natural",25600,"G",66.1828,-152.386,"FWS","AK"
"49",213349,"CEMWNW73",1992,1992-06-29,181,"Natural","Natural",3130,"F",65.9163,-147.6692,"FWS","AK"
"50",213350,"231304",1992,1992-06-29,181,"Natural","Natural",10,"C",65.6995,-150.1192,"OTHER FEDERAL","AK"
"51",213355,"CEM SW 50",1992,1992-06-29,181,"Natural","Natural",2840,"F",65.3996,-146.6858,"BLM","AK"
"52",213363,"CEM NW 60",1992,1992-07-01,183,"Natural","Natural",500,"E",65.8996,-147.0859,"FWS","AK"
"53",213364,"CEM NW 42",1992,1992-07-02,184,"Natural","Natural",4530,"F",65.7163,-146.5025,"BLM","AK"
"54",213365,"CEM NW 45",1992,1992-07-02,184,"Natural","Natural",4570,"F",65.7329,-146.6358,"BLM","AK"
"55",213375,"KKA W 36",1992,1992-07-05,187,"Natural","Natural",40,"C",64.916,-162.7193,"BLM","AK"
"56",213376,"KKA W 38",1992,1992-07-05,187,"Natural","Natural",12,"C",64.966,-162.7193,"BLM","AK"
"57",213379,"231357",1992,1992-07-06,188,"Natural","Natural",250,"D",65.466,-161.786,"STATE","AK"
"58",213382,"KKA NW 12",1992,1992-07-07,189,"Natural","Natural",30,"C",65.066,-161.5693,"BLM","AK"
"59",213385,"HAY SW 15",1992,1992-07-07,189,"Natural","Natural",50,"C",65.066,-161.6026,"BLM","AK"
"60",213390,"OTZ NE 35",1992,1992-07-11,193,"Natural","Natural",600,"E",67.4327,-163.1195,"BLM","AK"
"61",213397,"231411",1992,1992-07-18,200,"Natural","Natural",23,"C",66.9829,-152.5527,"STATE","AK"
"62",213398,"232412",1992,1992-07-19,201,"Natural","Natural",1040,"F",65.8997,-143.9025,"OTHER FEDERAL","AK"
"63",213400,"232414",1992,1992-07-19,201,"Natural","Natural",35090,"G",67.3997,-144.636,"FWS","AK"
"64",213401,"FYUNW59",1992,1992-07-20,202,"Natural","Natural",175,"D",67.0664,-143.086,"FWS","AK"
"65",213402,"FYU NE 72",1992,1992-07-20,202,"Natural","Natural",790,"E",67.3664,-143.036,"FWS","AK"
"66",213403,"CEM E 35",1992,1992-07-20,202,"Natural","Natural",80,"C",65.4663,-143.3691,"NPS","AK"
"67",213404,"232421",1992,1992-07-22,204,"Natural","Natural",10.7,"C",65.6162,-149.1525,"BLM","AK"
"68",213405,"CEM 3 55",1992,1992-07-22,204,"Natural","Natural",90,"C",65.6997,-141.3858,"BLM","AK"
"69",213406,"FYU N 53",1992,1992-07-23,205,"Natural","Natural",20,"C",67.4664,-144.7361,"FWS","AK"
"70",213409,"FYU NE 148",1992,1992-07-24,206,"Natural","Natural",185,"D",68.5331,-141.3027,"FWS","AK"
"71",213410,"FYU NE 141",1992,1992-07-24,206,"Natural","Natural",30,"C",68.3664,-141.286,"FWS","AK"
"72",213413,"CEM W 95",1992,1992-07-25,207,"Natural","Natural",20,"C",65.8496,-148.5692,"FWS","AK"
"73",213415,"204439",1992,1992-07-30,212,"Natural","Natural",250,"D",61.8159,-162.7024,"FWS","AK"
"74",213420,"FYU E 58",1992,1992-08-02,215,"Natural","Natural",215,"D",66.5997,-142.7859,"FWS","AK"
"75",213422,"FYU E 75",1992,1992-08-02,215,"Natural","Natural",2870,"F",66.483,-142.2859,"FWS","AK"
"76",213423,"KAL SE 60",1992,1992-08-02,215,"Natural","Natural",20,"C",63.4327,-158.0191,"FWS","AK"
"77",213425,"FAI E 40",1992,1992-08-05,218,"Human","Arson/incendiarism",200,"D",64.6663,-146.6191,"OTHER FEDERAL","AK"
"78",213435,"204490",1992,1992-09-09,253,"Human","Debris and open burning",20,"C",59.2159,-158.8022,"OTHER FEDERAL","AK"
"79",213439,"332001",1993,1993-04-13,103,"Human","Arson/incendiarism",21,"C",63.8329,-145.919,"OTHER FEDERAL","AK"
"80",213443,"EIL E 40",1993,1993-05-03,123,"Human","Arson/incendiarism",60,"C",64.6996,-146.4691,"OTHER FEDERAL","AK"
"81",213445,"EIL E 14",1993,1993-05-12,132,"Human","Arson/incendiarism",15.4,"C",64.6663,-146.5857,"OTHER FEDERAL","AK"
"82",213447,"16",1993,1993-05-12,132,"Human","Arson/incendiarism",95,"C",64.7163,-146.4524,"OTHER FEDERAL","AK"
"83",213451,"16",1993,1993-05-16,136,"Human","Arson/incendiarism",10,"C",64.6163,-146.4857,"OTHER FEDERAL","AK"
"84",213456,"BIG SW 22",1993,1993-05-24,144,"Human","Arson/incendiarism",25,"C",63.8996,-146.5523,"OTHER FEDERAL","AK"
"85",213463,"332205",1993,1993-06-01,152,"Natural","Natural",600,"E",62.0159,-161.8524,"FWS","AK"
"86",213464,"332206",1993,1993-06-01,152,"Natural","Natural",15,"C",64.7327,-158.6692,"BLM","AK"
"87",213465,"304207",1993,1993-06-01,152,"Natural","Natural",160,"D",62.416,-157.7691,"BLM","AK"
"88",213466,"KKA NE 7",1993,1993-06-01,152,"Natural","Natural",400,"E",64.9327,-160.9526,"BLM","AK"
"89",213470,"BET NW 105",1993,1993-06-02,153,"Natural","Natural",280,"D",62.2992,-163.5691,"FWS","AK"
"90",213471,"304222",1993,1993-06-02,153,"Natural","Natural",23501,"G",61.3159,-159.4857,"FWS","AK"
"91",213472,"332229",1993,1993-06-02,153,"Natural","Natural",11250,"G",62.816,-157.8024,"FWS","AK"
"92",213474,"304227",1993,1993-06-02,153,"Natural","Natural",130,"D",62.2326,-158.8024,"BLM","AK"
"93",213476,"331232",1993,1993-06-02,153,"Natural","Natural",25,"C",64.0993,-158.2191,"STATE","AK"
"94",213479,"MHM SE 36",1993,1993-06-03,154,"Natural","Natural",10,"C",63.6828,-151.0856,"NPS","AK"
"95",213484,"UNK SE 4",1993,1993-06-04,155,"Natural","Natural",25,"C",63.816,-160.6691,"BLM","AK"
"96",213485,"332249",1993,1993-06-04,155,"Natural","Natural",35,"C",64.7327,-154.8858,"FWS","AK"
"97",213486,"332248",1993,1993-06-04,155,"Natural","Natural",36250,"G",65.7995,-149.7192,"STATE","AK"
"98",213488,"302253",1993,1993-06-04,155,"Natural","Natural",25,"C",62.6329,-143.7355,"NPS","AK"
"99",213490,"TAL SW 83",1993,1993-06-04,155,"Natural","Natural",5180,"G",63.9828,-153.669,"BLM","AK"
"100",213491,"313258",1993,1993-06-05,156,"Natural","Natural",180,"D",63.8663,-143.8523,"BLM","AK"
"101",213492,"MHM N 36",1993,1993-06-05,156,"Natural","Natural",170,"D",64.3495,-152.6691,"BLM","AK"
"102",213493,"BTT SW 60",1993,1993-06-05,156,"Natural","Natural",60,"C",66.1162,-152.7526,"FWS","AK"
"103",213494,"332262",1993,1993-06-05,156,"Natural","Natural",1030,"F",65.6663,-145.2691,"BLM","AK"
"104",213495,"332266",1993,1993-06-05,156,"Natural","Natural",895,"E",63.7996,-145.1856,"OTHER FEDERAL","AK"
"105",213497,"332265",1993,1993-06-05,156,"Natural","Natural",300,"E",63.7996,-145.119,"OTHER FEDERAL","AK"
"106",213498,"331267",1993,1993-06-05,156,"Natural","Natural",970,"E",67.1995,-151.7194,"STATE","AK"
"107",213505,"HUS SW 12",1993,1993-06-05,156,"Natural","Natural",70,"C",65.9161,-154.6526,"BLM","AK"
"108",213506,"UNK ENE 32",1993,1993-06-05,156,"Natural","Natural",60,"C",64.0993,-159.4691,"BLM","AK"
"109",213507,"GALN 12",1993,1993-06-05,156,"Natural","Natural",15,"C",64.9661,-156.6858,"FWS","AK"
"110",213509,"DCK S 47",1993,1993-06-05,156,"Natural","Natural",40,"C",66.1828,-156.536,"BLM","AK"
"111",213510,"GAL SW 30",1993,1993-06-05,156,"Natural","Natural",10,"C",64.416,-157.5858,"FWS","AK"
"112",213511,"TAL S 54",1993,1993-06-06,157,"Natural","Natural",1190,"F",64.2995,-151.7191,"BLM","AK"
"113",213512,"TAL S 59",1993,1993-06-06,157,"Natural","Natural",40,"C",64.2328,-151.669,"BLM","AK"
"114",213514,"MHM SE 45",1993,1993-06-06,157,"Natural","Natural",10,"C",63.3161,-151.4523,"NPS","AK"
"115",213516,"3322292",1993,1993-06-06,157,"Natural","Natural",47494,"G",66.1164,-142.8692,"FWS","AK"
"116",213517,"304294",1993,1993-06-06,157,"Natural","Natural",240,"D",60.6326,-160.6523,"FWS","AK"
"117",213518,"304295",1993,1993-06-06,157,"Natural","Natural",110,"D",60.7159,-161.019,"FWS","AK"
"118",213522,"MHM NE 22",1993,1993-06-08,159,"Natural","Natural",843.2,"E",64.1995,-151.819,"BLM","AK"
"119",213529,"MHM SE 43",1993,1993-06-11,162,"Natural","Natural",110,"D",63.7328,-150.8023,"NPS","AK"
"120",213532,"MHM SE 16",1993,1993-06-13,164,"Natural","Natural",2200,"F",63.5995,-152.1023,"NPS","AK"
"121",213536,"CEMSE34",1993,1993-06-15,166,"Natural","Natural",21210,"G",65.2663,-143.6357,"NPS","AK"
"122",213538,"CEM SE 43",1993,1993-06-16,167,"Natural","Natural",70,"C",65.2163,-143.5024,"NPS","AK"
"123",213539,"FYUW102",1993,1993-06-16,167,"Natural","Natural",460,"E",66.5496,-149.436,"FWS","AK"
"124",213542,"CEME 42",1993,1993-06-16,167,"Natural","Natural",695,"E",65.4497,-143.1691,"NPS","AK"
"125",213543,"CEME40",1993,1993-06-16,167,"Natural","Natural",50,"C",65.4663,-143.2524,"BLM","AK"
"126",213544,"BTT NE 52",1993,1993-06-16,167,"Natural","Natural",10,"C",67.2996,-149.5027,"BLM","AK"
"127",213545,"BTT NE 51",1993,1993-06-16,167,"Natural","Natural",250,"D",67.2996,-149.5361,"BLM","AK"
"128",213547,"332378",1993,1993-06-17,168,"Natural","Natural",50,"C",66.2828,-155.1693,"BLM","AK"
"129",213551,"TAL W 33",1993,1993-06-19,170,"Natural","Natural",850,"E",65.1828,-153.3692,"BLM","AK"
"130",213554,"304395",1993,1993-06-21,172,"Natural","Natural",15,"C",62.4327,-154.4356,"BLM","AK"
"131",213556,"UNK N 35",1993,1993-06-22,173,"Natural","Natural",10,"C",64.4326,-160.7692,"BLM","AK"
"132",213557,"UNK ENE 30",1993,1993-06-22,173,"Natural","Natural",15,"C",64.0326,-159.7191,"BLM","AK"
"133",213559,"331402",1993,1993-06-22,173,"Natural","Natural",35,"C",65.0829,-148.9025,"STATE","AK"
"134",213562,"332407",1993,1993-06-23,174,"Natural","Natural",195,"D",66.6996,-147.0526,"FWS","AK"
"135",213564,"CEMESE 35",1993,1993-06-23,174,"Natural","Natural",117,"D",65.4663,-143.3524,"NPS","AK"
"136",213567,"332430",1993,1993-06-28,179,"Natural","Natural",12,"C",64.2997,-141.3856,"BLM","AK"
"137",213582,"TAL N 25",1993,1993-06-30,181,"Natural","Natural",26200,"G",65.5662,-151.8859,"BLM","AK"
"138",213588,"CEMWNW 93",1993,1993-06-30,181,"Natural","Natural",2037,"F",65.8829,-148.4859,"FWS","AK"
"139",213593,"332462",1993,1993-07-01,182,"Natural","Natural",60,"C",66.5995,-151.3027,"FWS","AK"
"140",213594,"EAANW 36",1993,1993-07-01,182,"Natural","Natural",479,"E",65.3164,-141.9524,"NPS","AK"
"141",213601,"332472",1993,1993-07-02,183,"Natural","Natural",12,"C",65.2162,-149.5858,"BLM","AK"
"142",213606,"DCKN 178",1993,1993-07-03,184,"Natural","Natural",16740,"G",69.7828,-158.3699,"BLM","AK"
"143",213607,"EAA NW 50",1993,1993-07-03,184,"Natural","Natural",2250,"F",65.4997,-141.7691,"BLM","AK"
"144",213613,"332522",1993,1993-07-11,192,"Human","Equipment and vehicle use",22,"C",64.6996,-147.6857,"OTHER FEDERAL","AK"
"145",213615,"304528",1993,1993-07-12,193,"Natural","Natural",27,"C",61.266,-155.569,"BIA","AK"
"146",213617,"304536",1993,1993-07-12,193,"Natural","Natural",28010,"G",61.766,-155.9357,"BLM","AK"
"147",213620,"332554",1993,1993-07-14,195,"Natural","Natural",10723,"G",66.583,-146.2026,"FWS","AK"
"148",213621,"FAI E 40",1993,1993-07-14,195,"Human","Arson/incendiarism",15,"C",64.6496,-146.5691,"OTHER FEDERAL","AK"
"149",213622,"332557",1993,1993-07-14,195,"Natural","Natural",215360,"G",65.8997,-143.6358,"BLM","AK"
"150",213623,"BTTN 152",1993,1993-07-14,195,"Natural","Natural",160,"D",69.433,-151.853,"BLM","AK"
"151",213625,"331563",1993,1993-07-15,196,"Natural","Natural",77,"C",66.1663,-144.1025,"STATE","AK"
"152",213626,"331568",1993,1993-07-15,196,"Natural","Natural",1290,"F",65.3163,-145.9025,"STATE","AK"
"153",213627,"FYUN 60",1993,1993-07-15,196,"Natural","Natural",20942,"G",67.4497,-144.0694,"FWS","AK"
"154",213628,"TAL S 27",1993,1993-07-16,197,"Natural","Natural",7870,"G",64.7328,-152.3191,"BLM","AK"
"155",213629,"FYU SE 46",1993,1993-07-16,197,"Natural","Natural",30,"C",66.383,-143.4192,"FWS","AK"
"156",213630,"331573",1993,1993-07-16,197,"Natural","Natural",5810,"G",67.1663,-147.8194,"STATE","AK"
"157",213632,"331582",1993,1993-07-16,197,"Natural","Natural",7200,"G",64.7662,-151.2691,"STATE","AK"
"158",213633,"331585",1993,1993-07-16,197,"Natural","Natural",5530,"G",64.1997,-141.0856,"STATE","AK"
"159",213634,"CEMW62",1993,1993-07-17,198,"Natural","Natural",4470,"F",65.8329,-147.4025,"BLM","AK"
"160",213637,"FYUSE 35",1993,1993-07-17,198,"Natural","Natural",3344,"F",66.0663,-145.5859,"FWS","AK"
"161",213638,"EAANW 21",1993,1993-07-17,198,"Natural","Natural",80,"C",65.083,-141.719,"NPS","AK"
"162",213643,"331603",1993,1993-07-17,198,"Natural","Natural",949,"E",67.6996,-146.9861,"STATE","AK"
"163",213649,"TAL SW 62",1993,1993-07-18,199,"Natural","Natural",160,"D",64.4661,-153.5358,"FWS","AK"
"164",213651,"302620",1993,1993-07-18,199,"Natural","Natural",170,"D",61.8995,-144.8021,"NPS","AK"
"165",213655,"304627",1993,1993-07-18,199,"Natural","Natural",238,"D",62.2326,-159.019,"BLM","AK"
"166",213656,"332629",1993,1993-07-18,199,"Natural","Natural",40,"C",62.8327,-157.8024,"FWS","AK"
"167",213657,"304632",1993,1993-07-19,200,"Natural","Natural",11550,"G",61.4326,-159.919,"FWS","AK"
"168",213660,"TAL S 25",1993,1993-07-19,200,"Natural","Natural",15,"C",64.7661,-152.4191,"BLM","AK"
"169",213661,"331639",1993,1993-07-19,200,"Natural","Natural",3410,"F",64.2494,-157.6358,"STATE","AK"
"170",213662,"313641",1993,1993-07-19,200,"Natural","Natural",4100,"F",62.7163,-142.2022,"FWS","AK"
"171",213663,"FYU E 100",1993,1993-07-20,201,"Natural","Natural",160,"D",66.5164,-141.1026,"BLM","AK"
"172",213665,"331653",1993,1993-07-20,201,"Natural","Natural",4800,"F",64.0994,-157.1358,"STATE","AK"
"173",213666,"TAL SW 63",1993,1993-07-20,201,"Natural","Natural",308,"E",64.2494,-153.2524,"BLM","AK"
"174",213668,"332663",1993,1993-07-21,202,"Natural","Natural",3200,"F",63.4828,-152.7356,"NPS","AK"
"175",213669,"331662",1993,1993-07-21,202,"Natural","Natural",3300,"F",64.166,-156.8358,"STATE","AK"
"176",213670,"304666",1993,1993-07-21,202,"Natural","Natural",650,"E",63.4661,-154.4857,"BLM","AK"
"177",213671,"332672",1993,1993-07-21,202,"Natural","Natural",525,"E",63.5161,-151.569,"NPS","AK"
"178",213674,"331691",1993,1993-07-22,203,"Natural","Natural",113,"D",67.5496,-147.9027,"STATE","AK"
"179",213675,"DCKN190",1993,1993-07-22,203,"Natural","Natural",82370,"G",69.8495,-159.2199,"BLM","AK"
"180",213676,"UNKE29",1993,1993-07-22,203,"Natural","Natural",2370,"F",63.816,-159.6858,"BLM","AK"
"181",213677,"GALSW59",1993,1993-07-22,203,"Natural","Natural",650,"E",63.8993,-157.8191,"FWS","AK"
"182",213678,"GALSW28",1993,1993-07-22,203,"Natural","Natural",750,"E",63.8993,-157.9524,"FWS","AK"
"183",213679,"CEMNE62",1993,1993-07-22,203,"Natural","Natural",5960,"G",65.6997,-142.2691,"BLM","AK"
"184",213680,"331688",1993,1993-07-22,203,"Natural","Natural",1280,"F",64.0827,-157.1858,"STATE","AK"
"185",213681,"UNKESE31",1993,1993-07-22,203,"Natural","Natural",1610,"F",63.6826,-159.8191,"BLM","AK"
"186",213685,"GALSW55",1993,1993-07-24,205,"Natural","Natural",200,"D",63.866,-157.2524,"FWS","AK"
"187",213686,"331707",1993,1993-07-25,206,"Natural","Natural",20,"C",66.6661,-155.9693,"STATE","AK"
"188",213691,"332718",1993,1993-07-26,207,"Natural","Natural",15,"C",64.6827,-155.3525,"STATE","AK"
"189",213694,"331724",1993,1993-07-27,208,"Natural","Natural",220,"D",63.9995,-150.8857,"STATE","AK"
"190",213699,"FYU ENE 70",1993,1993-07-29,210,"Natural","Natural",14,"C",66.8497,-142.4526,"FWS","AK"
"191",213700,"CEM E32",1993,1993-07-30,211,"Natural","Natural",90,"C",65.383,-143.5191,"NPS","AK"
"192",213703,"CEMSE20",1993,1993-08-02,214,"Natural","Natural",18,"C",65.2163,-144.9191,"BLM","AK"
"193",213705,"FUYNW57",1993,1993-08-04,216,"Natural","Natural",212,"D",67.0996,-147.286,"BLM","AK"
"194",213711,"MHM S 31",1993,1993-08-15,227,"Natural","Natural",835,"E",63.3828,-152.2856,"NPS","AK"
"195",213713,"FAI E 12",1993,1993-08-19,231,"Human","Arson/incendiarism",20,"C",64.7829,-147.6358,"OTHER FEDERAL","AK"
"196",213715,"332816",1993,1993-08-19,231,"Human","Missing data/not specified/undetermined",20,"C",64.6662,-147.0691,"OTHER FEDERAL","AK"
"197",213728,"432116",1994,1994-05-22,142,"Human","Recreation and ceremony",406.7,"E",66.5497,-145.1193,"TRIBAL","AK"
"198",213733,"404146",1994,1994-05-28,148,"Human","Recreation and ceremony",18,"C",62.666,-159.8524,"TRIBAL","AK"
"199",213734,"404147",1994,1994-05-28,148,"Human","Debris and open burning",18,"C",59.7159,-157.3022,"TRIBAL","AK"
"200",213739,"TAL S 27",1994,1994-06-06,157,"Natural","Natural",6520,"G",64.7328,-152.5691,"BLM","AK"
"201",213741,"432194",1994,1994-06-07,158,"Natural","Natural",140,"D",62.7827,-158.0524,"FWS","AK"
"202",213743,"DCK SSW 50",1994,1994-06-07,158,"Natural","Natural",180,"D",66.1327,-157.336,"BLM","AK"
"203",213747,"BTT S 49",1994,1994-06-08,159,"Natural","Natural",8240.2,"G",66.0828,-151.536,"FWS","AK"
"204",213748,"KSM N 15",1994,1994-06-08,159,"Natural","Natural",400,"E",62.4992,-162.8691,"FWS","AK"
"205",213749,"DCK SW 50",1994,1994-06-08,159,"Natural","Natural",12000,"G",66.2161,-157.6193,"FWS","AK"
"206",213751,"BTT NE 26",1994,1994-06-08,159,"Natural","Natural",6219,"G",67.1329,-150.5527,"NPS","AK"
"207",213752,"431208",1994,1994-06-08,159,"Natural","Natural",20,"C",67.2496,-149.7527,"STATE","AK"
"208",213753,"TAL WSW 7",1994,1994-06-08,159,"Natural","Natural",42,"C",64.9161,-155.0358,"BLM","AK"
"209",213754,"EAA W 56",1994,1994-06-08,159,"Natural","Natural",640,"E",64.883,-143.3357,"NPS","AK"
"210",213759,"UNK NW 10",1994,1994-06-08,159,"Natural","Natural",20,"C",64.0493,-160.8358,"TRIBAL","AK"
"211",213761,"432222",1994,1994-06-08,159,"Natural","Natural",2270,"F",63.366,-157.3191,"FWS","AK"
"212",213762,"432225",1994,1994-06-09,160,"Natural","Natural",14000,"G",65.8328,-155.6526,"FWS","AK"
"213",213763,"TAL N 45",1994,1994-06-09,160,"Natural","Natural",912,"E",65.9162,-152.0859,"BLM","AK"
"214",213765,"404227",1994,1994-06-09,160,"Natural","Natural",40,"C",61.9493,-157.069,"BLM","AK"
"215",213766,"GAL SW 94",1994,1994-06-09,160,"Natural","Natural",5650,"G",63.3327,-158.4191,"FWS","AK"
"216",213767,"432229",1994,1994-06-09,160,"Natural","Natural",13,"C",64.8827,-158.5692,"BLM","AK"
"217",213770,"TAL NE 33",1994,1994-06-10,161,"Natural","Natural",16300,"G",65.6162,-151.3692,"BLM","AK"
"218",213771,"BTT SSW 55",1994,1994-06-10,161,"Natural","Natural",1984,"F",66.1328,-152.486,"FWS","AK"
"219",213772,"432236",1994,1994-06-10,161,"Natural","Natural",150,"D",65.016,-160.4026,"BLM","AK"
"220",213773,"OTZ E 42",1994,1994-06-10,161,"Natural","Natural",12,"C",66.716,-160.8194,"FWS","AK"
"221",213776,"GAL NW 58",1994,1994-06-11,162,"Natural","Natural",1500,"F",65.6661,-157.6526,"FWS","AK"
"222",213777,"OTZ E 47",1994,1994-06-11,162,"Natural","Natural",124,"D",66.816,-160.6028,"FWS","AK"
"223",213778,"OTZ E 50",1994,1994-06-11,162,"Natural","Natural",12,"C",66.7827,-160.5028,"FWS","AK"
"224",213779,"TAL SW 46",1994,1994-06-11,162,"Natural","Natural",1309,"F",65.1328,-153.8359,"BLM","AK"
"225",213780,"TAL SW 47",1994,1994-06-11,162,"Natural","Natural",882,"E",65.1161,-153.8859,"BLM","AK"
"226",213782,"432248",1994,1994-06-11,162,"Natural","Natural",35,"C",67.416,-163.2028,"BLM","AK"
